Word	Type
aardvark	animal_n1
aardwolf	animal_n1
abdomen	body_part_n1
ability	quality_n1
abnormality	state_n4
abrasion	phenomenon_n1
absence	state_n4
absorption	phenomenon_n1
abundance	property_n3
acacia	plant_n2
academy	social_group_n1
acceleration	property_n3
accelerator	artifact_n1
accent	auditory_communication_n1
acceptance	knowledge_n1
accident	event_n1
accumulation	phenomenon_n1
accuracy	quality_n1
acetylene	substance_n1
achievement	action_n1
acid	substance_n1
acidity	property_n3
acknowledgment	message_n2
acne	illness_n1
acorn	plant_part_n1
acre	definite_quantity_n1
acrobat	person_n1
acrosome	body_part_n1
actin	substance_n1
action	action_n1
activation	phenomenon_n1
activity	activity_n1
actor	person_n1
actress	person_n1
ad	message_n2
addax	animal_n1
adder	animal_n1
addiction	state_n4
addition	action_n1
address	location_n1
adenine	substance_n1
adenosine	substance_n1
adenovirus	microorganism_n1
adhesive	material_n1
adjustment	event_n1
administration	period_n1
administrator	person_n1
admiral	person_n1
adolescence	period_n1
adrenaline	substance_n1
adult	person_n1
adulthood	period_n1
advancement	message_n2
advantage	quality_n1
adventure	activity_n1
advert	message_n2
advertisement	message_n2
advice	message_n2
aeration	phenomenon_n1
aerosol	phenomenon_n1
affair	state_n4
affect	feeling_n1
affection	feeling_n1
affirmation	message_n2
afternoon	period_n1
age	property_n3
agency	social_group_n1
agouti	animal_n1
agreement	message_n2
agriculture	event_n1
ailment	state_n4
aim	knowledge_n1
air	substance_n1
aircraft	transport_n1
airplane	transport_n1
airport	artifact_n1
airway	body_part_n1
albatross	bird_n1
albinism	state_n4
albino	person_n1
album	artifact_n1
alcohol	food_n1
alder	material_n1
alga	microorganism_n1
algae	microorganism_n1
alien	person_n1
alkali	substance_n1
allergen	substance_n1
allergy	state_n4
alley	artifact_n1
alligator	animal_n1
alloy	substance_n1
ally	social_group_n1
almanac	artifact_n1
almond	plant_part_n1
aloe	plant_n2
alsatian	animal_n1
alteration	event_n1
alternation	quality_n1
alternative	knowledge_n1
altocumulus	phenomenon_n1
aluminium	element_n2
aluminum	element_n2
alveolus	body_part_n1
amateur	person_n1
amazement	feeling_n1
ambition	feeling_n1
ambulance	transport_n1
ammonium	substance_n1
ammunition	artifact_n1
amniocentesis	activity_n1
amoeba	microorganism_n1
amount	property_n3
amp	definite_quantity_n1
amphibian	animal_n1
amusement	feeling_n1
amylase	substance_n1
analogy	knowledge_n1
analysis	activity_n1
anatomy	knowledge_n1
ancestor	person_n1
ancestry	social_group_n1
anchor	device_n1
anemia	state_n4
anemone	plant_n2
angel	knowledge_n1
anger	feeling_n1
angiosperm	plant_n2
angle	shape_n2
angler	fish_n1
anglerfish	fish_n1
angleworm	animal_n1
angwantibo	animal_n1
animal	animal_n1
animalcule	organism_n1
animation	activity_n1
ankle	body_part_n1
anniversary	period_n1
announcement	message_n2
annoyance	state_n4
anoa	animal_n1
anole	animal_n1
anorexia	state_n4
answer	message_n2
ant	insect_n1
anteater	animal_n1
antelope	animal_n1
antenna	device_n1
anther	plant_part_n1
antheridium	plant_part_n1
anthology	artifact_n1
anthrax	illness_n1
antibody	substance_n1
anticipation	feeling_n1
antifreeze	substance_n1
antigen	substance_n1
antivenin	substance_n1
antler	body_part_n1
anus	body_part_n1
anxiety	state_n4
aorta	body_part_n1
aoudad	animal_n1
apartment	artifact_n1
apatite	material_n1
ape	animal_n1
aperture	device_n1
aphid	insect_n1
apparatus	equipment_n1
appearance	quality_n1
appendage	body_part_n1
appendix	body_part_n1
appetite	feeling_n1
apple	plant_part_n1
appliance	device_n1
application	activity_n1
appreciation	knowledge_n1
approach	activity_n1
approval	activity_n1
apricot	plant_n2
apron	clothing_n1
aptitude	knowledge_n1
aquarium	artifact_n1
aquifer	formation_n5
arc	shape_n2
arch	shape_n2
archaeologist	person_n1
archegonium	plant_part_n1
archer	person_n1
archery	activity_n1
architecture	building_n1
area	property_n3
argali	animal_n1
argon	element_n2
arm	body_part_n1
armadillo	animal_n1
armor	artifact_n1
army	social_group_n1
aroma	property_n3
arrangement	knowledge_n1
arrival	action_n1
arrow	device_n1
arsenic	element_n2
art	artifact_n1
artery	body_part_n1
arthritis	illness_n1
arthropod	animal_n1
article	artifact_n1
artifact	artifact_n1
artist	person_n1
ash	substance_n1
asparagine	substance_n1
asparagus	plant_n2
aspect	knowledge_n1
aspen	plant_n2
asphalt	artifact_n1
aspirin	substance_n1
ass	animal_n1
assembly	device_n1
assessment	knowledge_n1
asset	quality_n1
assignment	activity_n1
assistance	activity_n1
assistant	person_n1
assumption	message_n2
asthma	illness_n1
astronaut	person_n1
astronomer	person_n1
astronomy	knowledge_n1
asymmetry	property_n3
atherosclerosis	state_n4
athlete	person_n1
atmosphere	location_n1
atom	substance_n1
atrium	body_part_n1
attachment	action_n1
attack	activity_n1
attacker	person_n1
attempt	activity_n1
attendant	person_n1
attention	knowledge_n1
attenuation	event_n1
attic	artifact_n1
attitude	knowledge_n1
attraction	phenomenon_n1
attribute	knowledge_n1
attribution	knowledge_n1
auctioneer	person_n1
audience	social_group_n1
audition	knowledge_n1
aunt	person_n1
auntie	person_n1
author	person_n1
authority	quality_n1
autism	knowledge_n1
auto	transport_n1
automaton	person_n1
automobile	transport_n1
autotroph	plant_n2
autumn	period_n1
auxin	material_n1
availability	quality_n1
avalanche	event_n1
aversion	feeling_n1
avocado	plant_part_n1
awareness	knowledge_n1
ax	tool_n1
axe	tool_n1
axil	shape_n2
axis	location_n1
axle	artifact_n1
axon	material_n1
babirusa	animal_n1
baboon	animal_n1
baby	person_n1
back	body_part_n1
backbone	body_part_n1
backflow	event_n1
background	knowledge_n1
backhoe	device_n1
backpack	artifact_n1
backup	phenomenon_n1
backwoods	location_n1
backwoodsman	person_n1
backyard	location_n1
bacon	substance_n1
bacterium	microorganism_n1
badge	knowledge_n1
badger	animal_n1
badminton	activity_n1
bag	artifact_n1
baggage	artifact_n1
bait	knowledge_n1
baker	person_n1
bakery	location_n1
baldness	state_n4
bale	artifact_n1
baleen	material_n1
ball	equipment_n1
balloon	artifact_n1
bamboo	material_n1
banana	plant_n2
band	artifact_n1
bandage	artifact_n1
bandicoot	animal_n1
bang	event_n1
bank	formation_n5
banner	artifact_n1
banteng	animal_n1
baobab	plant_n2
bar	artifact_n1
barb	material_n1
barbeque	food_n1
barber	person_n1
barite	material_n1
bark	sound_n4
barker	person_n1
barley	food_n1
barn	building_n1
barnacle	animal_n1
barometer	measuring_instrument_n1
baron	person_n1
barrel	shape_n2
barrier	artifact_n1
barrow	artifact_n1
basalt	material_n1
base	artifact_n1
baseball	activity_n1
basement	artifact_n1
basidiocarp	plant_part_n1
basil	plant_n2
basin	artifact_n1
basket	artifact_n1
basketball	activity_n1
bass	substance_n1
bat	animal_n1
bath	artifact_n1
bathroom	artifact_n1
battery	device_n1
battle	event_n1
bay	water_n2
bazaar	artifact_n1
beach	formation_n5
bead	artifact_n1
beagle	animal_n1
beak	body_part_n1
beaker	artifact_n1
beam	phenomenon_n1
bean	substance_n1
bear	animal_n1
beast	animal_n1
beauty	quality_n1
beaver	animal_n1
bed	artifact_n1
bedroom	artifact_n1
bedtime	knowledge_n1
bee	insect_n1
beech	plant_n2
beef	substance_n1
beer	food_n1
beet	plant_n2
beetle	insect_n1
beetroot	plant_n2
beggar	person_n1
beginning	event_n1
behavior	activity_n1
behaviour	state_n4
being	state_n4
belief	knowledge_n1
bell	device_n1
belladonna	plant_n2
belle	person_n1
belly	body_part_n1
belt	clothing_n1
beluga	fish_n1
bench	artifact_n1
benefit	quality_n1
benzene	substance_n1
berry	plant_part_n1
beryllium	element_n2
bettong	animal_n1
beverage	food_n1
bias	knowledge_n1
bicarbonate	substance_n1
biceps	body_part_n1
bicycle	transport_n1
bighorn	animal_n1
bike	transport_n1
bilby	animal_n1
bile	substance_n1
bill	written_language_n1
bin	artifact_n1
binoculars	device_n1
binturong	animal_n1
biochemistry	knowledge_n1
biodiversity	quality_n1
biogeography	knowledge_n1
biologist	person_n1
biology	knowledge_n1
biomass	substance_n1
biosphere	location_n1
biosynthesis	phenomenon_n1
biotechnology	knowledge_n1
birch	material_n1
bird	bird_n1
birdbath	artifact_n1
birthday	period_n1
biscuit	substance_n1
bison	animal_n1
bivalve	animal_n1
blackberry	plant_part_n1
blackbird	bird_n1
blackbuck	animal_n1
blacksmith	person_n1
blade	device_n1
blanket	artifact_n1
blastocyst	animal_n1
bleat	sound_n4
blend	event_n1
blender	artifact_n1
blindness	state_n4
blister	body_part_n1
blizzard	phenomenon_n1
blob	shape_n2
block	artifact_n1
blockage	state_n4
blog	written_language_n1
bloke	person_n1
blood	substance_n1
bloodroot	plant_n2
bloodstream	substance_n1
blossom	plant_part_n1
blot	quality_n1
blotch	quality_n1
blow	action_n1
blowfly	insect_n1
blubber	material_n1
bluebell	plant_n2
blueberry	plant_part_n1
bluebird	bird_n1
bluefin	substance_n1
bluefish	fish_n1
bluff	formation_n5
boa	animal_n1
boar	animal_n1
board	artifact_n1
boat	transport_n1
boatman	person_n1
bobby	person_n1
bobcat	animal_n1
boiler	artifact_n1
bomb	device_n1
bond	phenomenon_n1
bone	body_part_n1
bonfire	event_n1
bonobo	animal_n1
booby	bird_n1
book	artifact_n1
booklet	artifact_n1
boot	artifact_n1
booth	artifact_n1
borax	material_n1
bore	event_n1
boron	element_n2
boss	person_n1
botanist	person_n1
botany	knowledge_n1
bottle	artifact_n1
bottleneck	property_n3
bottlenose	animal_n1
bottom	location_n1
boundary	location_n1
bowel	body_part_n1
bowerbird	bird_n1
bowhead	animal_n1
bowl	artifact_n1
bowler	person_n1
bowman	person_n1
box	artifact_n1
boxer	person_n1
boy	person_n1
boyfriend	person_n1
brace	device_n1
bracelet	artifact_n1
brachiation	action_n1
brain	body_part_n1
brainstem	body_part_n1
brainwave	phenomenon_n1
brake	device_n1
bramble	plant_n2
branch	social_group_n1
brandy	food_n1
brant	bird_n1
brass	substance_n1
brazil	plant_part_n1
bread	substance_n1
breadth	knowledge_n1
break	event_n1
breakdown	action_n1
breakfast	food_n1
breakthrough	knowledge_n1
breast	body_part_n1
breath	phenomenon_n1
breed	social_group_n1
breeder	person_n1
breeze	phenomenon_n1
brick	artifact_n1
bricklayer	person_n1
bride	person_n1
bridegroom	person_n1
bridesmaid	person_n1
bridge	device_n1
bridle	equipment_n1
brigade	social_group_n1
brightness	property_n3
broccoli	plant_n2
brocket	animal_n1
bromine	element_n2
bronchiole	body_part_n1
bronchus	body_part_n1
bronze	substance_n1
broom	artifact_n1
broth	food_n1
brother	person_n1
brow	body_part_n1
bruise	state_n4
bryophyte	organism_n1
bubble	shape_n2
buck	animal_n1
bucket	artifact_n1
buckle	device_n1
bud	plant_part_n1
budgerigar	bird_n1
budgie	bird_n1
buff	person_n1
buffalo	animal_n1
bug	insect_n1
buggy	transport_n1
builder	person_n1
building	building_n1
buildup	action_n1
bulb	device_n1
bulk	property_n3
bull	animal_n1
bulldog	animal_n1
bulldozer	transport_n1
bullet	device_n1
bulletin	message_n2
bullfrog	animal_n1
bullock	animal_n1
bully	person_n1
bumper	device_n1
bun	substance_n1
bungalow	building_n1
bunk	artifact_n1
bunny	animal_n1
buoyancy	property_n3
burden	knowledge_n1
burdock	plant_n2
bureau	social_group_n1
burgess	person_n1
burglar	person_n1
burglary	activity_n1
burial	event_n1
burn	state_n4
burner	equipment_n1
burrow	formation_n5
bus	transport_n1
bush	plant_n2
bushbaby	animal_n1
bushbuck	animal_n1
bushman	person_n1
business	social_group_n1
businessman	person_n1
butler	person_n1
butt	body_part_n1
butter	food_n1
buttercup	plant_n2
butterfly	insect_n1
button	device_n1
buzzer	device_n1
byproduct	phenomenon_n1
bystander	person_n1
c	definite_quantity_n1
cab	artifact_n1
cabbage	substance_n1
cabin	artifact_n1
cabinet	artifact_n1
cable	device_n1
cacomistle	animal_n1
cactus	plant_n2
cadmium	element_n2
caecum	body_part_n1
cafe	building_n1
caffeine	substance_n1
cage	artifact_n1
caiman	animal_n1
cake	substance_n1
calcite	material_n1
calcitonin	substance_n1
calcium	element_n2
calculation	activity_n1
calculator	device_n1
calendar	knowledge_n1
calf	animal_n1
call	artifact_n1
calorie	definite_quantity_n1
calorimeter	measuring_instrument_n1
cam	device_n1
camel	animal_n1
camera	equipment_n1
camp	artifact_n1
campaign	event_n1
camper	person_n1
campsite	location_n1
can	artifact_n1
canal	body_part_n1
canary	bird_n1
cancer	illness_n1
candida	plant_n2
candidate	person_n1
candidiasis	phenomenon_n1
candle	device_n1
candlestick	device_n1
candy	food_n1
cane	artifact_n1
cannon	artifact_n1
canoe	transport_n1
canon	message_n2
cantaloupe	plant_n2
canvas	artifact_n1
canvasback	bird_n1
canyon	formation_n5
cap	clothing_n1
capability	quality_n1
capacity	quality_n1
cape	clothing_n1
capillary	artifact_n1
capital	location_n1
capsid	insect_n1
capsule	artifact_n1
captain	person_n1
captive	person_n1
capuchin	animal_n1
capybara	animal_n1
car	transport_n1
carabao	animal_n1
caracal	animal_n1
carapace	body_part_n1
carbohydrate	substance_n1
carbon	element_n2
carcinogen	substance_n1
card	material_n1
cardamom	plant_n2
cardboard	material_n1
cardinal	bird_n1
care	activity_n1
career	activity_n1
caretaker	person_n1
cargo	artifact_n1
caribou	animal_n1
carnation	plant_n2
carnivore	animal_n1
carpel	plant_part_n1
carpenter	person_n1
carpet	artifact_n1
carriage	transport_n1
carrier	person_n1
carrot	plant_part_n1
cart	transport_n1
carter	person_n1
cartilage	body_part_n1
carton	artifact_n1
cartoon	message_n2
case	artifact_n1
cashew	plant_part_n1
cassowary	bird_n1
caster	person_n1
castle	building_n1
casualty	person_n1
cat	animal_n1
catalog	artifact_n1
cataract	illness_n1
catcher	person_n1
caterpillar	animal_n1
catfish	substance_n1
catheter	artifact_n1
catkin	plant_part_n1
cattail	plant_n2
cattle	animal_n1
cause	event_n1
causeway	artifact_n1
cavity	phenomenon_n1
cavy	animal_n1
cayenne	plant_n2
cayman	animal_n1
cc	definite_quantity_n1
cecum	body_part_n1
cedar	plant_n2
ceiling	artifact_n1
celebration	event_n1
celery	plant_n2
cellar	artifact_n1
cellophane	artifact_n1
cellulose	substance_n1
census	activity_n1
center	location_n1
centimeter	definite_quantity_n1
centimetre	definite_quantity_n1
centipede	animal_n1
centre	location_n1
centriole	body_part_n1
centromere	body_part_n1
century	period_n1
cereal	plant_n2
cerebellum	body_part_n1
cerebrum	body_part_n1
ceremony	event_n1
certificate	written_language_n1
cervix	body_part_n1
cessation	event_n1
chaffinch	bird_n1
chair	artifact_n1
chalk	artifact_n1
chamber	artifact_n1
chamberlain	person_n1
chameleon	animal_n1
champ	person_n1
champion	person_n1
chance	state_n4
chancellor	person_n1
chandler	person_n1
channel	artifact_n1
chaos	state_n4
chap	person_n1
chaparral	biom_n1
chapter	auditory_communication_n1
character	knowledge_n1
characteristic	knowledge_n1
charcoal	element_n2
charge	phenomenon_n1
chariot	transport_n1
charisma	quality_n1
charity	social_group_n1
charm	quality_n1
chatter	auditory_communication_n1
checklist	message_n2
checkpoint	location_n1
cheek	body_part_n1
cheese	food_n1
cheetah	animal_n1
chef	person_n1
chelicera	body_part_n1
chemical	material_n1
chemist	person_n1
chemistry	knowledge_n1
chemosynthesis	phenomenon_n1
chemotherapy	activity_n1
cherry	plant_part_n1
chess	activity_n1
chest	body_part_n1
chestnut	plant_part_n1
chevrotain	animal_n1
chick	bird_n1
chicken	bird_n1
chief	person_n1
child	person_n1
childbirth	phenomenon_n1
childhood	period_n1
chile	substance_n1
chill	property_n3
chimera	knowledge_n1
chimney	artifact_n1
chimp	animal_n1
chimpanzee	animal_n1
chin	body_part_n1
china	artifact_n1
chinchilla	animal_n1
chipmunk	animal_n1
chitin	substance_n1
chloride	substance_n1
chlorine	element_n2
chlorophyll	material_n1
chloroplast	material_n1
chocolate	substance_n1
choice	knowledge_n1
cholera	illness_n1
cholesterol	substance_n1
chopper	transport_n1
chore	activity_n1
chorus	social_group_n1
chough	bird_n1
chromate	substance_n1
chromatin	substance_n1
chromium	element_n2
chrysalis	insect_n1
chum	person_n1
church	building_n1
cicada	insect_n1
cigar	material_n1
cigarette	material_n1
ciliate	microorganism_n1
cilium	body_part_n1
circle	shape_n2
circuit	device_n1
circumference	property_n3
circumstance	state_n4
circus	social_group_n1
cirrhosis	illness_n1
cirrus	phenomenon_n1
cistern	body_part_n1
citizen	person_n1
citrus	plant_part_n1
city	location_n1
civet	animal_n1
civilisation	social_group_n1
civilization	social_group_n1
cladogram	shape_n2
clam	animal_n1
clamp	device_n1
clapper	body_part_n1
clarification	message_n2
clarity	quality_n1
classification	activity_n1
classmate	person_n1
classroom	artifact_n1
claw	body_part_n1
clay	material_n1
cleaner	substance_n1
cleavage	state_n4
cleft	shape_n2
cleverness	knowledge_n1
cliff	formation_n5
climate	state_n4
climber	plant_n2
clinic	social_group_n1
clipboard	artifact_n1
cloaca	artifact_n1
cloak	artifact_n1
closet	artifact_n1
cloth	artifact_n1
cloud	phenomenon_n1
clover	plant_n2
clown	person_n1
club	social_group_n1
cm	definite_quantity_n1
cnidarian	animal_n1
coach	person_n1
coal	substance_n1
coast	formation_n5
coaster	artifact_n1
coastline	location_n1
coat	clothing_n1
coati	animal_n1
coating	artifact_n1
cob	plant_part_n1
cobra	animal_n1
cochlea	body_part_n1
cockatiel	bird_n1
cockatoo	bird_n1
cockerel	bird_n1
cocklebur	plant_n2
cockroach	insect_n1
coco	plant_n2
cocoa	food_n1
coconut	substance_n1
cod	fish_n1
code	written_language_n1
coelacanth	fish_n1
coelom	body_part_n1
coffee	food_n1
coffin	artifact_n1
cognition	knowledge_n1
coho	substance_n1
coincidence	event_n1
cola	food_n1
cole	plant_n2
collagen	substance_n1
collar	artifact_n1
collector	person_n1
college	social_group_n1
collision	event_n1
colobus	animal_n1
colon	body_part_n1
colonization	action_n1
colony	social_group_n1
color	property_n3
coloration	property_n3
colugo	animal_n1
coma	state_n4
comb	device_n1
combat	event_n1
combustion	phenomenon_n1
comfort	state_n4
commerce	event_n1
commission	social_group_n1
commissioner	person_n1
committee	social_group_n1
commodity	artifact_n1
commonality	quality_n1
commotion	state_n4
community	social_group_n1
commutator	device_n1
commuter	person_n1
compaction	event_n1
companion	person_n1
companionship	state_n4
company	social_group_n1
comparison	activity_n1
compartment	artifact_n1
compass	device_n1
complement	knowledge_n1
completion	action_n1
complexity	quality_n1
compliance	event_n1
compliment	message_n2
component	knowledge_n1
composite	knowledge_n1
composition	artifact_n1
compost	substance_n1
compound	substance_n1
comprehension	knowledge_n1
compression	event_n1
compromise	event_n1
computation	activity_n1
computer	device_n1
concentration	property_n3
concept	knowledge_n1
conception	phenomenon_n1
concern	state_n4
concert	event_n1
concession	written_language_n1
conclusion	knowledge_n1
concrete	artifact_n1
condensation	phenomenon_n1
condition	state_n4
conditioner	activity_n1
condom	device_n1
conductance	phenomenon_n1
conduction	phenomenon_n1
conductivity	phenomenon_n1
conductor	material_n1
conduit	artifact_n1
cone	artifact_n1
coney	fish_n1
conference	social_group_n1
confetti	material_n1
confidence	state_n4
confinement	activity_n1
conflict	event_n1
confusion	state_n4
conger	fish_n1
congestion	knowledge_n1
conifer	plant_n2
conker	plant_part_n1
connotation	message_n2
consensus	state_n4
consent	message_n2
consequence	phenomenon_n1
conservation	event_n1
consideration	knowledge_n1
consortium	social_group_n1
constable	person_n1
constipation	knowledge_n1
constraint	state_n4
constriction	property_n3
constrictor	animal_n1
construction	activity_n1
consultant	person_n1
consumption	phenomenon_n1
contact	state_n4
container	artifact_n1
contamination	state_n4
contest	event_n1
context	state_n4
continuity	state_n4
contract	written_language_n1
contraction	action_n1
contractor	person_n1
contribution	activity_n1
contributor	person_n1
convection	phenomenon_n1
convenience	quality_n1
convent	building_n1
convention	social_group_n1
conversation	auditory_communication_n1
conversion	event_n1
conveyer	person_n1
conveyor	person_n1
cookbook	artifact_n1
cooker	artifact_n1
cookie	substance_n1
