Loading files... 
  Starting freebase_mtr100_mte100-train.txt
  Finished freebase_mtr100_mte100-train.txt, still running: 0
Loaded 483142 facts in 3.69 s using -213 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.819260414	0.812994156	0.831502153	9460	11636	11377	?b	0.0	0.0	0.0
?b  /award/award_category/winners./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.319178645	0.68415493	0.714338235	3886	5680	5440	?a	0.0	0.0	0.0
?a  /award/award_winner/awards_won./award/award_honor/award  ?b   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.318850103	0.681770285	0.711640697	3882	5694	5455	?a	0.0	0.0	0.0
?b  /award/award_category/nominees./award/award_nomination/award_nominee  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award  ?b	0.815605749	0.816209107	0.826329367	9930	12166	12017	?a	0.0	0.0	0.0
?b  /people/profession/people_with_this_profession  ?a   => ?a  /people/person/profession  ?b	0.812994156	0.819260414	0.83583672	9460	11547	11318	?a	0.0	0.0	0.0
?a  /award/award_category/winners./award/award_honor/award_winner  ?b   => ?a  /award/award_category/nominees./award/award_nomination/award_nominee  ?b	0.316866678	0.678697183	0.709552733	3855	5680	5433	?b	0.0	0.0	0.0
?b  /award/award_winner/awards_won./award/award_honor/award  ?a   => ?a  /award/award_category/nominees./award/award_nomination/award_nominee  ?b	0.317195463	0.677730945	0.709766415	3859	5694	5437	?b	0.0	0.0	0.0
?b  /award/award_nominee/award_nominations./award/award_nomination/award  ?a   => ?a  /award/award_category/nominees./award/award_nomination/award_nominee  ?b	0.816209107	0.815605749	0.827431047	9930	12175	12001	?b	0.0	0.0	0.0
?a  /film/film/country  ?b   => ?a  /film/film/release_date_s./film/film_regional_release_date/film_release_region  ?b	0.083378578	0.446614042	0.623911782	1075	2407	1723	?a	0.0	0.0	0.0
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.010188774	0.107875579	0.150925926	163	1511	1080	?b	0.0	0.0	0.0
?a  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?b   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.01000125	0.105890139	0.148423006	160	1511	1078	?b	0.0	0.0	0.0
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?b   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.391861483	0.743565413	0.763953205	6269	8431	8206	?b	0.0	0.0	0.0
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.392486561	0.744751512	0.765825101	6279	8431	8199	?b	0.0	0.0	0.0
?b  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?a   => ?a  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?b	0.809976247	0.809976247	0.814149284	12958	15998	15916	?b	0.0	0.0	0.0
?b  /people/person/profession  ?f  ?f  /people/profession/specialization_of  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.091452325	0.304849885	0.309133489	1056	3464	3416	?b	0.0	0.0	0.0
?a  /dataworld/gardening_hint/split_to  ?f  ?b  /people/person/profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.202563436	0.656285073	0.68471897	2339	3564	3416	?b	0.0	0.0	0.0
?f  /dataworld/gardening_hint/split_to  ?a  ?b  /people/person/profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.202563436	0.734149404	0.769154883	2339	3186	3041	?b	0.0	0.0	0.0
?b  /people/person/profession  ?f  ?a  /people/profession/specializations  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.091019312	0.300371535	0.304814385	1051	3499	3448	?b	0.0	0.0	0.0
?a  /dataworld/gardening_hint/split_to  ?f  ?b  /music/group_member/instruments_played  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.017926734	0.16734034	0.174242424	207	1237	1188	?b	0.0	0.0	0.0
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.204122283	0.251896976	0.277555346	2357	9357	8492	?b	0.0	0.0	0.0
?b  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.331341474	0.233977495	0.256296892	3826	16352	14928	?b	0.0	0.0	0.0
?a  /dataworld/gardening_hint/split_to  ?f  ?b  /music/artist/track_contributions./music/track_contribution/role  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.011171733	0.215	0.223570191	129	600	577	?b	0.0	0.0	0.0
?b  /film/actor/film./film/performance/special_performance_type  ?f  ?f  /film/special_film_performance_type/film_performance_type./film/performance/character  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.014809041	0.28125	0.295336788	171	608	579	?b	0.0	0.0	0.0
?b  /film/actor/film./film/performance/special_performance_type  ?f  ?a  /film/film_character/portrayed_in_films./film/performance/special_performance_type  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.014809041	0.351851852	0.369330454	171	486	463	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.096388672	0.300242784	0.310373675	1113	3707	3586	?b	0.0	0.0	0.0
?b  /influence/influence_node/influenced_by  ?f  ?a  /people/profession/people_with_this_profession  ?f   => ?a  /people/profession/people_with_this_profession  ?b	0.072399758	0.265312599	0.294677476	836	3151	2837	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/friendship./base/popstra/friendship/participant  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.095695852	0.295138889	0.304827586	1105	3744	3625	?b	0.0	0.0	0.0
?b  /influence/influence_node/influenced_by  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.076123668	0.274515928	0.304679376	879	3202	2885	?b	0.0	0.0	0.0
?b  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.068329436	0.249762583	0.261518064	789	3159	3017	?b	0.0	0.0	0.0
?b  /award/award_nominee/award_nominations./award/award_nomination/award_nominee  ?f  ?f  /people/person/profession  ?a   => ?a  /people/profession/people_with_this_profession  ?b	0.332034295	0.232857577	0.254784689	3834	16465	15048	?b	0.0	0.0	0.0
