Loading files... 
  Starting yago3_mte10-train.tsv
  Finished yago3_mte10-train.tsv, still running: 0
Loaded 1079040 facts in 8.48 s using 102 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <hasNeighbor>  ?a   => ?a  <hasNeighbor>  ?b	0.990990991	0.990990991	0.992779783	550	555	554	?b	0.0	0.0	0.0
?b  <dealsWith>  ?a   => ?a  <hasNeighbor>  ?b	0.297297297	0.126728111	0.174788136	165	1302	944	?b	0.0	0.0	0.0
?a  <dealsWith>  ?b   => ?a  <hasNeighbor>  ?b	0.295495495	0.125960061	0.16449348	164	1302	997	?b	0.0	0.0	0.0
?b  <hasChild>  ?a   => ?a  <hasChild>  ?b	0.081753555	0.081753555	0.109581789	414	5064	3778	?b	0.0	0.0	0.0
?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.290348101	0.285048544	0.363186541	1468	5150	4042	?b	0.0	0.0	0.0
?a  <wroteMusicFor>  ?b   => ?a  <created>  ?b	0.080196163	0.09194642	0.1572843	556	6047	3535	?b	0.0	0.0	0.0
?a  <directed>  ?b   => ?a  <created>  ?b	0.17337372	0.219303047	0.326364377	1202	5481	3683	?b	0.0	0.0	0.0
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0.034228188	0.011029412	0.242857143	102	9248	420	?a	0.0	0.0	0.0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	0.139261745	0.120115774	0.471055619	415	3455	881	?a	0.0	0.0	0.0
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	0.028187919	0.038834951	0.285714286	84	2163	294	?a	0.0	0.0	0.0
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0.022483221	0.070010449	0.210691824	67	957	318	?a	0.0	0.0	0.0
