Loading files... 
  Starting yago3_mte10-train.tsv
  Finished yago3_mte10-train.tsv, still running: 0
Loaded 1079040 facts in 18.18 s using -90 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  influences  ?a   => ?a  hasAcademicAdvisor  ?b	0.067833698	0.005788982	0.18452381	62	10710	336	?a	0.0	0.0	0.0
?a  imports  ?b   => ?a  exports  ?b	0.158730159	0.152671756	0.17699115	60	393	339	?a	0.0	0.0	0.0
?a  isLeaderOf  ?b   => ?a  isPoliticianOf  ?b	0.064724919	0.146290491	0.45751634	140	957	306	?a	0.0	0.0	0.0
?a  livesIn  ?b   => ?a  isPoliticianOf  ?b	0.038834951	0.028187919	0.226415094	84	2980	371	?a	0.0	0.0	0.0
?a  isCitizenOf  ?b   => ?a  isPoliticianOf  ?b	0.091539528	0.057308249	0.755725191	198	3455	262	?a	0.0	0.0	0.0
?a  isLocatedIn  ?b   => ?a  hasCapital  ?b	0.38659392	0.011187297	0.234183192	992	88672	4236	?a	0.0	0.0	0.0
?b  participatedIn  ?a   => ?a  happenedIn  ?b	0.290348101	0.285048544	0.363186541	1468	5150	4042	?b	0.0	0.0	0.0
?a  created  ?b   => ?a  directed  ?b	0.219303047	0.17337372	0.236521055	1202	6933	5082	?b	0.0	0.0	0.0
?b  hasChild  ?a   => ?a  hasChild  ?b	0.081753555	0.081753555	0.109756098	414	5064	3772	?b	0.0	0.0	0.0
?b  isMarriedTo  ?a   => ?a  isMarriedTo  ?b	0.969922811	0.969922811	0.984864865	3644	3757	3700	?a	0.0	0.0	0.0
?a  exports  ?b   => ?a  imports  ?b	0.152671756	0.158730159	0.170940171	60	378	351	?a	0.0	0.0	0.0
?a  wroteMusicFor  ?b   => ?a  created  ?b	0.080196163	0.09194642	0.1572843	556	6047	3535	?b	0.0	0.0	0.0
?a  directed  ?b   => ?a  created  ?b	0.17337372	0.219303047	0.326364377	1202	5481	3683	?b	0.0	0.0	0.0
?a  worksAt  ?b   => ?a  graduatedFrom  ?b	0.081518781	0.176748303	0.192666452	599	3389	3109	?a	0.0	0.0	0.0
?a  dealsWith  ?b   => ?a  hasNeighbor  ?b	0.295495495	0.125960061	0.16449348	164	1302	997	?b	0.0	0.0	0.0
?b  dealsWith  ?a   => ?a  hasNeighbor  ?b	0.297297297	0.126728111	0.174788136	165	1302	944	?b	0.0	0.0	0.0
?b  hasNeighbor  ?a   => ?a  hasNeighbor  ?b	0.990990991	0.990990991	0.992779783	550	555	554	?b	0.0	0.0	0.0
?a  created  ?b   => ?a  wroteMusicFor  ?b	0.09194642	0.080196163	0.125536238	556	6933	4429	?b	0.0	0.0	0.0
?a  isLeaderOf  ?b   => ?a  livesIn  ?b	0.022483221	0.070010449	0.210691824	67	957	318	?a	0.0	0.0	0.0
?a  isPoliticianOf  ?b   => ?a  livesIn  ?b	0.028187919	0.038834951	0.285714286	84	2163	294	?a	0.0	0.0	0.0
?a  diedIn  ?b   => ?a  livesIn  ?b	0.034228188	0.011029412	0.242857143	102	9248	420	?a	0.0	0.0	0.0
?a  isCitizenOf  ?b   => ?a  livesIn  ?b	0.139261745	0.120115774	0.471055619	415	3455	881	?a	0.0	0.0	0.0
?a  wasBornIn  ?b   => ?a  livesIn  ?b	0.045637584	0.0030237	0.105426357	136	44978	1290	?a	0.0	0.0	0.0
?b  happenedIn  ?a   => ?a  participatedIn  ?b	0.285048544	0.290348101	0.306920343	1468	5056	4783	?b	0.0	0.0	0.0
?a  livesIn  ?b   => ?a  diedIn  ?b	0.011029412	0.034228188	0.140689655	102	2980	725	?a	0.0	0.0	0.0
?a  wasBornIn  ?b   => ?a  diedIn  ?b	0.122404844	0.02516786	0.174127057	1132	44978	6501	?a	0.0	0.0	0.0
