Method	Model	Metric	Fraction	Result
ADV	DistMult	HITS@1	0.1	3.65
ADV	DistMult	HITS@1	0.2	4.94
ADV	DistMult	HITS@1	0.3	5.30
ADV	DistMult	HITS@1	0.4	6.07
ADV	DistMult	HITS@1	0.5	7.64
ADV	DistMult	HITS@1	0.6	7.64
ADV	DistMult	HITS@1	0.7	8.29
ADV	DistMult	HITS@1	0.8	8.50
ADV	DistMult	HITS@1	0.9	11.35
ADV	DistMult	HITS@1	1.0	15.15
ADV	DistMult	HITS@10	0.1	10.74
ADV	DistMult	HITS@10	0.2	20.39
ADV	DistMult	HITS@10	0.3	27.54
ADV	DistMult	HITS@10	0.4	32.38
ADV	DistMult	HITS@10	0.5	37.43
ADV	DistMult	HITS@10	0.6	41.96
ADV	DistMult	HITS@10	0.7	46.08
ADV	DistMult	HITS@10	0.8	49.45
ADV	DistMult	HITS@10	0.9	52.56
ADV	DistMult	HITS@10	1.0	56.47
ADV	DistMult	MR	0.1	10485.75
ADV	DistMult	MR	0.2	7631.02
ADV	DistMult	MR	0.3	5842.42
ADV	DistMult	MR	0.4	4631.67
ADV	DistMult	MR	0.5	3715.82
ADV	DistMult	MR	0.6	3145.34
ADV	DistMult	MR	0.7	2747.02
ADV	DistMult	MR	0.8	2360.94
ADV	DistMult	MR	0.9	2038.20
ADV	DistMult	MR	1.0	1824.45
ADV	DistMult	HITS@5	0.1	9.06
ADV	DistMult	HITS@5	0.2	16.11
ADV	DistMult	HITS@5	0.3	21.30
ADV	DistMult	HITS@5	0.4	25.92
ADV	DistMult	HITS@5	0.5	29.53
ADV	DistMult	HITS@5	0.6	33.95
ADV	DistMult	HITS@5	0.7	38.16
ADV	DistMult	HITS@5	0.8	41.49
ADV	DistMult	HITS@5	0.9	46.16
ADV	DistMult	HITS@5	1.0	50.34
ADV	DistMult	HITS@3	0.1	7.25
ADV	DistMult	HITS@3	0.2	12.21
ADV	DistMult	HITS@3	0.3	15.77
ADV	DistMult	HITS@3	0.4	19.22
ADV	DistMult	HITS@3	0.5	22.02
ADV	DistMult	HITS@3	0.6	25.66
ADV	DistMult	HITS@3	0.7	28.78
ADV	DistMult	HITS@3	0.8	31.94
ADV	DistMult	HITS@3	0.9	37.25
ADV	DistMult	HITS@3	1.0	42.95
ADV	DistMult	MRR	0.1	0.060
ADV	DistMult	MRR	0.2	0.099
ADV	DistMult	MRR	0.3	0.124
ADV	DistMult	MRR	0.4	0.147
ADV	DistMult	MRR	0.5	0.172
ADV	DistMult	MRR	0.6	0.190
ADV	DistMult	MRR	0.7	0.210
ADV	DistMult	MRR	0.8	0.226
ADV	DistMult	MRR	0.9	0.263
ADV	DistMult	MRR	1.0	0.308
ADV	ComplEx	HITS@1	0.1	4.37
ADV	ComplEx	HITS@1	0.2	7.91
ADV	ComplEx	HITS@1	0.3	9.46
ADV	ComplEx	HITS@1	0.4	11.00
ADV	ComplEx	HITS@1	0.5	11.13
ADV	ComplEx	HITS@1	0.6	11.45
ADV	ComplEx	HITS@1	0.7	8.63
ADV	ComplEx	HITS@1	0.8	18.16
ADV	ComplEx	HITS@1	0.9	15.58
ADV	ComplEx	HITS@1	1.0	21.42
ADV	ComplEx	HITS@10	0.1	8.10
ADV	ComplEx	HITS@10	0.2	18.62
ADV	ComplEx	HITS@10	0.3	26.40
ADV	ComplEx	HITS@10	0.4	31.79
ADV	ComplEx	HITS@10	0.5	37.39
ADV	ComplEx	HITS@10	0.6	42.80
ADV	ComplEx	HITS@10	0.7	46.50
ADV	ComplEx	HITS@10	0.8	50.40
ADV	ComplEx	HITS@10	0.9	54.14
ADV	ComplEx	HITS@10	1.0	57.27
ADV	ComplEx	MR	0.1	10976.63
ADV	ComplEx	MR	0.2	7951.51
ADV	ComplEx	MR	0.3	5968.45
ADV	ComplEx	MR	0.4	4705.64
ADV	ComplEx	MR	0.5	3896.37
ADV	ComplEx	MR	0.6	3247.77
ADV	ComplEx	MR	0.7	2834.22
ADV	ComplEx	MR	0.8	2479.84
ADV	ComplEx	MR	0.9	2052.85
ADV	ComplEx	MR	1.0	1798.95
ADV	ComplEx	HITS@5	0.1	6.94
ADV	ComplEx	HITS@5	0.2	15.46
ADV	ComplEx	HITS@5	0.3	21.81
ADV	ComplEx	HITS@5	0.4	26.77
ADV	ComplEx	HITS@5	0.5	31.72
ADV	ComplEx	HITS@5	0.6	36.62
ADV	ComplEx	HITS@5	0.7	40.72
