Method	Model	Metric	Fraction	Result
ADV	TransE	MR	0.1	18131.32
ADV	TransE	MR	0.2	14855.25
ADV	TransE	MR	0.3	10764.13
ADV	TransE	MR	0.4	7024.58
ADV	TransE	MR	0.5	4489.61
ADV	TransE	MR	0.6	2651.61
ADV	TransE	MR	0.7	1778.82
ADV	TransE	MR	0.8	1163.95
ADV	TransE	MR	0.9	743.46
ADV	TransE	MR	1.0	429.20
ADV	TransE	HITS@5	0.1	8.36
ADV	TransE	HITS@5	0.2	13.91
ADV	TransE	HITS@5	0.3	18.66
ADV	TransE	HITS@5	0.4	20.68
ADV	TransE	HITS@5	0.5	22.89
ADV	TransE	HITS@5	0.6	24.05
ADV	TransE	HITS@5	0.7	23.40
ADV	TransE	HITS@5	0.8	25.04
ADV	TransE	HITS@5	0.9	26.24
ADV	TransE	HITS@5	1.0	22.43
ADV	TransE	HITS@3	0.1	7.08
ADV	TransE	HITS@3	0.2	10.71
ADV	TransE	HITS@3	0.3	13.39
ADV	TransE	HITS@3	0.4	14.99
ADV	TransE	HITS@3	0.5	16.37
ADV	TransE	HITS@3	0.6	16.78
ADV	TransE	HITS@3	0.7	17.10
ADV	TransE	HITS@3	0.8	16.85
ADV	TransE	HITS@3	0.9	17.48
ADV	TransE	HITS@3	1.0	16.55
ADV	TransE	HITS@1	0.1	1.31
ADV	TransE	HITS@1	0.2	2.26
ADV	TransE	HITS@1	0.3	3.28
ADV	TransE	HITS@1	0.4	3.97
ADV	TransE	HITS@1	0.5	4.26
ADV	TransE	HITS@1	0.6	4.25
ADV	TransE	HITS@1	0.7	4.95
ADV	TransE	HITS@1	0.8	4.81
ADV	TransE	HITS@1	0.9	5.06
ADV	TransE	HITS@1	1.0	4.94
ADV	TransE	HITS@10	0.1	9.53
ADV	TransE	HITS@10	0.2	17.51
ADV	TransE	HITS@10	0.3	24.10
ADV	TransE	HITS@10	0.4	28.16
ADV	TransE	HITS@10	0.5	31.32
ADV	TransE	HITS@10	0.6	33.63
ADV	TransE	HITS@10	0.7	33.14
ADV	TransE	HITS@10	0.8	36.69
ADV	TransE	HITS@10	0.9	37.83
ADV	TransE	HITS@10	1.0	34.19
ADV	TransE	MRR	0.1	0.04
ADV	TransE	MRR	0.2	0.07
ADV	TransE	MRR	0.3	0.10
ADV	TransE	MRR	0.4	0.12
ADV	TransE	MRR	0.5	0.13
ADV	TransE	MRR	0.6	0.13
ADV	TransE	MRR	0.7	0.14
ADV	TransE	MRR	0.8	0.14
ADV	TransE	MRR	0.9	0.14
ADV	TransE	MRR	1.0	0.14
ADV	DistMult	MR	0.1	16925.90
ADV	DistMult	MR	0.2	14631.25
ADV	DistMult	MR	0.3	12108.80
ADV	DistMult	MR	0.4	8809.39
ADV	DistMult	MR	0.5	5651.30
ADV	DistMult	MR	0.6	3746.39
ADV	DistMult	MR	0.7	2587.74
ADV	DistMult	MR	0.8	1579.83
ADV	DistMult	MR	0.9	1099.94
ADV	DistMult	MR	1.0	462.60
ADV	DistMult	HITS@5	0.1	9.70
ADV	DistMult	HITS@5	0.2	18.49
ADV	DistMult	HITS@5	0.3	28.18
ADV	DistMult	HITS@5	0.4	38.38
ADV	DistMult	HITS@5	0.5	46.99
ADV	DistMult	HITS@5	0.6	56.31
ADV	DistMult	HITS@5	0.7	65.09
ADV	DistMult	HITS@5	0.8	73.82
ADV	DistMult	HITS@5	0.9	82.79
ADV	DistMult	HITS@5	1.0	94.00
ADV	DistMult	HITS@3	0.1	9.35
ADV	DistMult	HITS@3	0.2	17.98
ADV	DistMult	HITS@3	0.3	26.76
ADV	DistMult	HITS@3	0.4	35.97
ADV	DistMult	HITS@3	0.5	44.22
ADV	DistMult	HITS@3	0.6	52.95
ADV	DistMult	HITS@3	0.7	61.71
ADV	DistMult	HITS@3	0.8	70.00
ADV	DistMult	HITS@3	0.9	78.95
ADV	DistMult	HITS@3	1.0	92.79
ADV	DistMult	HITS@1	0.1	8.01
ADV	DistMult	HITS@1	0.2	14.22
ADV	DistMult	HITS@1	0.3	20.51
ADV	DistMult	HITS@1	0.4	27.03
ADV	DistMult	HITS@1	0.5	32.74
ADV	DistMult	HITS@1	0.6	39.68
ADV	DistMult	HITS@1	0.7	45.52
ADV	DistMult	HITS@1	0.8	52.60
ADV	DistMult	HITS@1	0.9	60.95
ADV	DistMult	HITS@1	1.0	78.14
ADV	DistMult	HITS@10	0.1	10.03
ADV	DistMult	HITS@10	0.2	19.22
ADV	DistMult	HITS@10	0.3	29.65
ADV	DistMult	HITS@10	0.4	40.61
ADV	DistMult	HITS@10	0.5	49.57
ADV	DistMult	HITS@10	0.6	59.17
ADV	DistMult	HITS@10	0.7	68.25
ADV	DistMult	HITS@10	0.8	76.63
ADV	DistMult	HITS@10	0.9	85.10
ADV	DistMult	HITS@10	1.0	94.69
ADV	DistMult	MRR	0.1	0.09
ADV	DistMult	MRR	0.2	0.16
ADV	DistMult	MRR	0.3	0.24
ADV	DistMult	MRR	0.4	0.32
