Method	Model	Metric	Fraction	Result
ADV	DistMult	HITS@5	0.1	9.55
ADV	DistMult	HITS@5	0.2	18.84
ADV	DistMult	HITS@5	0.3	28.18
ADV	DistMult	HITS@5	0.4	37.68
ADV	DistMult	HITS@5	0.5	46.61
ADV	DistMult	HITS@5	0.6	55.76
ADV	DistMult	HITS@5	0.7	64.24
ADV	DistMult	HITS@5	0.8	73.38
ADV	DistMult	HITS@5	0.9	81.82
ADV	DistMult	HITS@5	1.0	94.00
ADV	DistMult	HITS@3	0.1	9.35
ADV	DistMult	HITS@3	0.2	17.94
ADV	DistMult	HITS@3	0.3	26.76
ADV	DistMult	HITS@3	0.4	35.65
ADV	DistMult	HITS@3	0.5	43.94
ADV	DistMult	HITS@3	0.6	52.62
ADV	DistMult	HITS@3	0.7	61.24
ADV	DistMult	HITS@3	0.8	69.97
ADV	DistMult	HITS@3	0.9	78.74
ADV	DistMult	HITS@3	1.0	92.70
ADV	DistMult	MRR	0.1	0.088
ADV	DistMult	MRR	0.2	0.165
ADV	DistMult	MRR	0.3	0.240
ADV	DistMult	MRR	0.4	0.317
ADV	DistMult	MRR	0.5	0.391
ADV	DistMult	MRR	0.6	0.467
ADV	DistMult	MRR	0.7	0.540
ADV	DistMult	MRR	0.8	0.621
ADV	DistMult	MRR	0.9	0.706
ADV	DistMult	MRR	1.0	0.852
ADV	DistMult	HITS@10	0.1	9.92
ADV	DistMult	HITS@10	0.2	19.61
ADV	DistMult	HITS@10	0.3	29.65
ADV	DistMult	HITS@10	0.4	39.70
ADV	DistMult	HITS@10	0.5	48.83
ADV	DistMult	HITS@10	0.6	58.56
ADV	DistMult	HITS@10	0.7	67.18
ADV	DistMult	HITS@10	0.8	76.08
ADV	DistMult	HITS@10	0.9	84.64
ADV	DistMult	HITS@10	1.0	94.69
ADV	DistMult	MR	0.1	17450.38
ADV	DistMult	MR	0.2	14752.45
ADV	DistMult	MR	0.3	12153.74
ADV	DistMult	MR	0.4	9739.82
ADV	DistMult	MR	0.5	7489.50
ADV	DistMult	MR	0.6	5545.44
ADV	DistMult	MR	0.7	3936.69
ADV	DistMult	MR	0.8	2624.00
ADV	DistMult	MR	0.9	1589.70
ADV	DistMult	MR	1.0	496.06
ADV	DistMult	HITS@1	0.1	7.98
ADV	DistMult	HITS@1	0.2	14.43
ADV	DistMult	HITS@1	0.3	20.51
ADV	DistMult	HITS@1	0.4	26.62
ADV	DistMult	HITS@1	0.5	32.78
ADV	DistMult	HITS@1	0.6	39.30
ADV	DistMult	HITS@1	0.7	45.48
ADV	DistMult	HITS@1	0.8	52.71
ADV	DistMult	HITS@1	0.9	61.09
ADV	DistMult	HITS@1	1.0	77.32
ADV	ComplEx	HITS@5	0.1	9.22
ADV	ComplEx	HITS@5	0.2	18.90
ADV	ComplEx	HITS@5	0.3	28.33
ADV	ComplEx	HITS@5	0.4	38.42
ADV	ComplEx	HITS@5	0.5	47.52
ADV	ComplEx	HITS@5	0.6	56.64
ADV	ComplEx	HITS@5	0.7	65.74
ADV	ComplEx	HITS@5	0.8	73.97
ADV	ComplEx	HITS@5	0.9	83.39
ADV	ComplEx	HITS@5	1.0	94.58
ADV	ComplEx	HITS@3	0.1	8.90
ADV	ComplEx	HITS@3	0.2	18.17
ADV	ComplEx	HITS@3	0.3	27.17
ADV	ComplEx	HITS@3	0.4	36.66
ADV	ComplEx	HITS@3	0.5	45.53
ADV	ComplEx	HITS@3	0.6	54.02
ADV	ComplEx	HITS@3	0.7	63.43
ADV	ComplEx	HITS@3	0.8	71.57
ADV	ComplEx	HITS@3	0.9	81.45
ADV	ComplEx	HITS@3	1.0	94.41
ADV	ComplEx	MRR	0.1	0.084
ADV	ComplEx	MRR	0.2	0.170
ADV	ComplEx	MRR	0.3	0.254
ADV	ComplEx	MRR	0.4	0.341
ADV	ComplEx	MRR	0.5	0.424
ADV	ComplEx	MRR	0.6	0.506
ADV	ComplEx	MRR	0.7	0.590
ADV	ComplEx	MRR	0.8	0.672
ADV	ComplEx	MRR	0.9	0.775
ADV	ComplEx	MRR	1.0	0.938
ADV	ComplEx	HITS@10	0.1	9.58
ADV	ComplEx	HITS@10	0.2	19.67
ADV	ComplEx	HITS@10	0.3	29.67
ADV	ComplEx	HITS@10	0.4	40.07
ADV	ComplEx	HITS@10	0.5	49.93
ADV	ComplEx	HITS@10	0.6	59.12
ADV	ComplEx	HITS@10	0.7	68.09
ADV	ComplEx	HITS@10	0.8	76.33
ADV	ComplEx	HITS@10	0.9	85.16
ADV	ComplEx	HITS@10	1.0	94.78
ADV	ComplEx	MR	0.1	18130.79
ADV	ComplEx	MR	0.2	15260.01
ADV	ComplEx	MR	0.3	12397.84
ADV	ComplEx	MR	0.4	9833.83
ADV	ComplEx	MR	0.5	7402.48
ADV	ComplEx	MR	0.6	5336.32
ADV	ComplEx	MR	0.7	3747.43
ADV	ComplEx	MR	0.8	2635.05
ADV	ComplEx	MR	0.9	1648.02
ADV	ComplEx	MR	1.0	551.03
ADV	ComplEx	HITS@1	0.1	7.68
ADV	ComplEx	HITS@1	0.2	15.36
ADV	ComplEx	HITS@1	0.3	22.81
ADV	ComplEx	HITS@1	0.4	30.44
ADV	ComplEx	HITS@1	0.5	37.95
ADV	ComplEx	HITS@1	0.6	45.48
ADV	ComplEx	HITS@1	0.7	53.34
ADV	ComplEx	HITS@1	0.8	61.51
ADV	ComplEx	HITS@1	0.9	72.52
ADV	ComplEx	HITS@1	1.0	93.09
ADV	TransE	HITS@5	0.1	9.09
ADV	TransE	HITS@5	0.2	15.51
ADV	TransE	HITS@5	0.3	17.50
ADV	TransE	HITS@5	0.4	22.81
ADV	TransE	HITS@5	0.5	27.28
ADV	TransE	HITS@5	0.6	28.23
ADV	TransE	HITS@5	0.7	31.01
ADV	TransE	HITS@5	0.8	30.53
ADV	TransE	HITS@5	0.9	32.90
ADV	TransE	HITS@5	1.0	33.25
ADV	TransE	HITS@3	0.1	8.30
ADV	TransE	HITS@3	0.2	13.00
ADV	TransE	HITS@3	0.3	13.22
ADV	TransE	HITS@3	0.4	17.12
ADV	TransE	HITS@3	0.5	20.57
ADV	TransE	HITS@3	0.6	21.10
ADV	TransE	HITS@3	0.7	23.69
ADV	TransE	HITS@3	0.8	22.77
ADV	TransE	HITS@3	0.9	25.78
ADV	TransE	HITS@3	1.0	25.81
ADV	TransE	MRR	0.1	0.070
ADV	TransE	MRR	0.2	0.111
ADV	TransE	MRR	0.3	0.099
ADV	TransE	MRR	0.4	0.137
ADV	TransE	MRR	0.5	0.162
ADV	TransE	MRR	0.6	0.163
ADV	TransE	MRR	0.7	0.186
ADV	TransE	MRR	0.8	0.181
ADV	TransE	MRR	0.9	0.201
ADV	TransE	MRR	1.0	0.204
ADV	TransE	HITS@10	0.1	10.32
ADV	TransE	HITS@10	0.2	18.61
ADV	TransE	HITS@10	0.3	23.70
ADV	TransE	HITS@10	0.4	29.99
ADV	TransE	HITS@10	0.5	34.99
ADV	TransE	HITS@10	0.6	37.17
ADV	TransE	HITS@10	0.7	39.88
ADV	TransE	HITS@10	0.8	40.59
ADV	TransE	HITS@10	0.9	42.76
ADV	TransE	HITS@10	1.0	43.19
ADV	TransE	MR	0.1	16341.34
ADV	TransE	MR	0.2	13416.61
ADV	TransE	MR	0.3	10394.71
ADV	TransE	MR	0.4	7491.29
ADV	TransE	MR	0.5	5046.80
ADV	TransE	MR	0.6	3371.35
ADV	TransE	MR	0.7	2220.43
ADV	TransE	MR	0.8	1417.65
ADV	TransE	MR	0.9	871.60
ADV	TransE	MR	1.0	402.92
ADV	TransE	HITS@1	0.1	5.06
ADV	TransE	HITS@1	0.2	7.12
ADV	TransE	HITS@1	0.3	2.87
ADV	TransE	HITS@1	0.4	5.52
ADV	TransE	HITS@1	0.5	6.58
ADV	TransE	HITS@1	0.6	5.45
ADV	TransE	HITS@1	0.7	7.42
ADV	TransE	HITS@1	0.8	6.80
ADV	TransE	HITS@1	0.9	8.12
ADV	TransE	HITS@1	1.0	8.66
STD	DistMult	HITS@5	0.1	7.03
STD	DistMult	HITS@5	0.2	17.91
STD	DistMult	HITS@5	0.3	27.48
STD	DistMult	HITS@5	0.4	37.08
STD	DistMult	HITS@5	0.5	45.72
STD	DistMult	HITS@5	0.6	55.28
STD	DistMult	HITS@5	0.7	64.24
STD	DistMult	HITS@5	0.8	72.65
STD	DistMult	HITS@5	0.9	81.91
STD	DistMult	HITS@5	1.0	93.85
STD	DistMult	HITS@3	0.1	6.45
STD	DistMult	HITS@3	0.2	16.94
STD	DistMult	HITS@3	0.3	26.00
STD	DistMult	HITS@3	0.4	34.76
STD	DistMult	HITS@3	0.5	43.12
STD	DistMult	HITS@3	0.6	52.14
STD	DistMult	HITS@3	0.7	61.01
STD	DistMult	HITS@3	0.8	69.25
STD	DistMult	HITS@3	0.9	78.97
STD	DistMult	HITS@3	1.0	92.67
STD	DistMult	MRR	0.1	0.058
STD	DistMult	MRR	0.2	0.151
STD	DistMult	MRR	0.3	0.233
STD	DistMult	MRR	0.4	0.307
STD	DistMult	MRR	0.5	0.383
STD	DistMult	MRR	0.6	0.465
STD	DistMult	MRR	0.7	0.540
STD	DistMult	MRR	0.8	0.614
STD	DistMult	MRR	0.9	0.706
STD	DistMult	MRR	1.0	0.850
STD	DistMult	HITS@10	0.1	7.61
STD	DistMult	HITS@10	0.2	18.66
STD	DistMult	HITS@10	0.3	28.85
STD	DistMult	HITS@10	0.4	38.70
STD	DistMult	HITS@10	0.5	48.16
STD	DistMult	HITS@10	0.6	58.16
STD	DistMult	HITS@10	0.7	66.98
STD	DistMult	HITS@10	0.8	75.58
STD	DistMult	HITS@10	0.9	84.43
STD	DistMult	HITS@10	1.0	94.68
STD	DistMult	MR	0.1	17036.11
STD	DistMult	MR	0.2	14244.79
STD	DistMult	MR	0.3	12182.49
STD	DistMult	MR	0.4	9705.91
STD	DistMult	MR	0.5	7546.04
STD	DistMult	MR	0.6	5407.32
STD	DistMult	MR	0.7	3993.86
STD	DistMult	MR	0.8	2566.42
STD	DistMult	MR	0.9	1575.78
STD	DistMult	MR	1.0	506.02
STD	DistMult	HITS@1	0.1	4.79
STD	DistMult	HITS@1	0.2	12.74
STD	DistMult	HITS@1	0.3	19.83
STD	DistMult	HITS@1	0.4	25.56
STD	DistMult	HITS@1	0.5	32.16
STD	DistMult	HITS@1	0.6	39.19
STD	DistMult	HITS@1	0.7	45.65
STD	DistMult	HITS@1	0.8	52.07
STD	DistMult	HITS@1	0.9	61.15
STD	DistMult	HITS@1	1.0	77.05
STD	ComplEx	HITS@5	0.1	6.62
STD	ComplEx	HITS@5	0.2	17.82
STD	ComplEx	HITS@5	0.3	27.09
STD	ComplEx	HITS@5	0.4	36.97
STD	ComplEx	HITS@5	0.5	46.07
STD	ComplEx	HITS@5	0.6	55.41
STD	ComplEx	HITS@5	0.7	64.98
STD	ComplEx	HITS@5	0.8	73.73
STD	ComplEx	HITS@5	0.9	82.58
STD	ComplEx	HITS@5	1.0	94.48
STD	ComplEx	HITS@3	0.1	5.96
STD	ComplEx	HITS@3	0.2	17.21
STD	ComplEx	HITS@3	0.3	26.23
STD	ComplEx	HITS@3	0.4	35.52
STD	ComplEx	HITS@3	0.5	44.21
STD	ComplEx	HITS@3	0.6	53.22
STD	ComplEx	HITS@3	0.7	62.70
STD	ComplEx	HITS@3	0.8	71.43
STD	ComplEx	HITS@3	0.9	80.72
STD	ComplEx	HITS@3	1.0	94.40
STD	ComplEx	MRR	0.1	0.053
STD	ComplEx	MRR	0.2	0.160
STD	ComplEx	MRR	0.3	0.244
STD	ComplEx	MRR	0.4	0.333
STD	ComplEx	MRR	0.5	0.412
STD	ComplEx	MRR	0.6	0.496
STD	ComplEx	MRR	0.7	0.586
STD	ComplEx	MRR	0.8	0.671
STD	ComplEx	MRR	0.9	0.771
STD	ComplEx	MRR	1.0	0.941
STD	ComplEx	HITS@10	0.1	7.48
STD	ComplEx	HITS@10	0.2	18.38
STD	ComplEx	HITS@10	0.3	28.31
STD	ComplEx	HITS@10	0.4	38.51
STD	ComplEx	HITS@10	0.5	48.08
