Method	Model	Metric	Fraction	Result
ADV	TransE	HITS@5	0.1	3.39
ADV	TransE	HITS@5	0.2	4.76
ADV	TransE	HITS@5	0.3	5.42
ADV	TransE	HITS@5	0.4	4.54
ADV	TransE	HITS@5	0.5	4.70
ADV	TransE	HITS@5	0.6	4.85
ADV	TransE	HITS@5	0.7	7.78
ADV	TransE	HITS@5	0.8	6.63
ADV	TransE	HITS@5	0.9	5.68
ADV	TransE	HITS@5	1.0	5.43
ADV	TransE	MRR	0.1	0.026
ADV	TransE	MRR	0.2	0.040
ADV	TransE	MRR	0.3	0.047
ADV	TransE	MRR	0.4	0.039
ADV	TransE	MRR	0.5	0.040
ADV	TransE	MRR	0.6	0.041
ADV	TransE	MRR	0.7	0.066
ADV	TransE	MRR	0.8	0.053
ADV	TransE	MRR	0.9	0.044
ADV	TransE	MRR	1.0	0.043
ADV	TransE	HITS@3	0.1	2.41
ADV	TransE	HITS@3	0.2	3.65
ADV	TransE	HITS@3	0.3	4.30
ADV	TransE	HITS@3	0.4	3.29
ADV	TransE	HITS@3	0.5	3.54
ADV	TransE	HITS@3	0.6	3.98
ADV	TransE	HITS@3	0.7	6.09
ADV	TransE	HITS@3	0.8	5.04
ADV	TransE	HITS@3	0.9	3.86
ADV	TransE	HITS@3	1.0	3.96
ADV	TransE	HITS@10	0.1	5.31
ADV	TransE	HITS@10	0.2	6.69
ADV	TransE	HITS@10	0.3	7.89
ADV	TransE	HITS@10	0.4	7.51
ADV	TransE	HITS@10	0.5	7.80
ADV	TransE	HITS@10	0.6	7.78
ADV	TransE	HITS@10	0.7	10.79
ADV	TransE	HITS@10	0.8	9.88
ADV	TransE	HITS@10	0.9	8.78
ADV	TransE	HITS@10	1.0	8.90
ADV	TransE	MR	0.1	22293.30
ADV	TransE	MR	0.2	11679.35
ADV	TransE	MR	0.3	7509.10
ADV	TransE	MR	0.4	6015.84
ADV	TransE	MR	0.5	5195.90
ADV	TransE	MR	0.6	4294.97
ADV	TransE	MR	0.7	3818.23
ADV	TransE	MR	0.8	3621.47
ADV	TransE	MR	0.9	3703.64
ADV	TransE	MR	1.0	3454.84
ADV	TransE	HITS@1	0.1	1.70
ADV	TransE	HITS@1	0.2	2.31
ADV	TransE	HITS@1	0.3	2.75
ADV	TransE	HITS@1	0.4	2.42
ADV	TransE	HITS@1	0.5	2.47
ADV	TransE	HITS@1	0.6	2.75
ADV	TransE	HITS@1	0.7	4.34
ADV	TransE	HITS@1	0.8	2.95
ADV	TransE	HITS@1	0.9	2.49
ADV	TransE	HITS@1	1.0	2.65
ADV	ComplEx	HITS@5	0.1	5.03
ADV	ComplEx	HITS@5	0.2	9.71
ADV	ComplEx	HITS@5	0.3	13.07
ADV	ComplEx	HITS@5	0.4	16.96
ADV	ComplEx	HITS@5	0.5	20.57
ADV	ComplEx	HITS@5	0.6	24.56
ADV	ComplEx	HITS@5	0.7	29.37
ADV	ComplEx	HITS@5	0.8	33.06
ADV	ComplEx	HITS@5	0.9	27.99
ADV	ComplEx	HITS@5	1.0	7.22
ADV	ComplEx	MRR	0.1	0.040
ADV	ComplEx	MRR	0.2	0.070
ADV	ComplEx	MRR	0.3	0.091
ADV	ComplEx	MRR	0.4	0.110
ADV	ComplEx	MRR	0.5	0.135
ADV	ComplEx	MRR	0.6	0.163
ADV	ComplEx	MRR	0.7	0.196
ADV	ComplEx	MRR	0.8	0.235
ADV	ComplEx	MRR	0.9	0.180
ADV	ComplEx	MRR	1.0	0.052
ADV	ComplEx	HITS@3	0.1	4.01
ADV	ComplEx	HITS@3	0.2	8.06
ADV	ComplEx	HITS@3	0.3	10.53
ADV	ComplEx	HITS@3	0.4	13.60
ADV	ComplEx	HITS@3	0.5	16.79
ADV	ComplEx	HITS@3	0.6	19.67
ADV	ComplEx	HITS@3	0.7	23.86
