Method	Model	Metric	Fraction	Result
ADV	TransE	HITS@5	0.1	4.06
ADV	TransE	HITS@5	0.2	5.49
ADV	TransE	HITS@5	0.3	5.92
ADV	TransE	HITS@5	0.4	6.22
ADV	TransE	HITS@5	0.5	6.61
ADV	TransE	HITS@5	0.6	6.51
ADV	TransE	HITS@5	0.7	6.10
ADV	TransE	HITS@5	0.8	6.79
ADV	TransE	HITS@5	0.9	6.44
ADV	TransE	HITS@5	1.0	6.46
ADV	TransE	MR	0.1	24272.77
ADV	TransE	MR	0.2	10744.26
ADV	TransE	MR	0.3	6958.68
ADV	TransE	MR	0.4	5172.78
ADV	TransE	MR	0.5	4115.08
ADV	TransE	MR	0.6	3560.12
ADV	TransE	MR	0.7	3322.26
ADV	TransE	MR	0.8	2883.03
ADV	TransE	MR	0.9	2733.19
ADV	TransE	MR	1.0	2396.65
ADV	TransE	HITS@10	0.1	5.51
ADV	TransE	HITS@10	0.2	7.26
ADV	TransE	HITS@10	0.3	7.94
ADV	TransE	HITS@10	0.4	8.08
ADV	TransE	HITS@10	0.5	9.13
ADV	TransE	HITS@10	0.6	8.84
ADV	TransE	HITS@10	0.7	8.18
ADV	TransE	HITS@10	0.8	8.71
ADV	TransE	HITS@10	0.9	8.43
ADV	TransE	HITS@10	1.0	8.65
ADV	TransE	MRR	0.1	0.036
ADV	TransE	MRR	0.2	0.048
ADV	TransE	MRR	0.3	0.052
ADV	TransE	MRR	0.4	0.054
ADV	TransE	MRR	0.5	0.058
ADV	TransE	MRR	0.6	0.056
ADV	TransE	MRR	0.7	0.053
ADV	TransE	MRR	0.8	0.058
ADV	TransE	MRR	0.9	0.054
ADV	TransE	MRR	1.0	0.055
ADV	TransE	HITS@1	0.1	2.33
ADV	TransE	HITS@1	0.2	3.11
ADV	TransE	HITS@1	0.3	3.36
ADV	TransE	HITS@1	0.4	3.59
ADV	TransE	HITS@1	0.5	3.61
ADV	TransE	HITS@1	0.6	3.45
ADV	TransE	HITS@1	0.7	3.30
ADV	TransE	HITS@1	0.8	3.77
ADV	TransE	HITS@1	0.9	3.38
ADV	TransE	HITS@1	1.0	3.38
ADV	TransE	HITS@3	0.1	3.42
ADV	TransE	HITS@3	0.2	4.61
ADV	TransE	HITS@3	0.3	4.96
ADV	TransE	HITS@3	0.4	5.31
ADV	TransE	HITS@3	0.5	5.52
ADV	TransE	HITS@3	0.6	5.32
ADV	TransE	HITS@3	0.7	5.09
ADV	TransE	HITS@3	0.8	5.69
ADV	TransE	HITS@3	0.9	5.57
ADV	TransE	HITS@3	1.0	5.23
ADV	DistMult	HITS@5	0.1	4.32
ADV	DistMult	HITS@5	0.2	8.88
ADV	DistMult	HITS@5	0.3	12.89
ADV	DistMult	HITS@5	0.4	16.65
ADV	DistMult	HITS@5	0.5	20.55
ADV	DistMult	HITS@5	0.6	24.99
ADV	DistMult	HITS@5	0.7	29.12
ADV	DistMult	HITS@5	0.8	33.65
ADV	DistMult	HITS@5	0.9	39.24
ADV	DistMult	HITS@5	1.0	47.80
ADV	DistMult	MR	0.1	38780.71
ADV	DistMult	MR	0.2	28632.85
ADV	DistMult	MR	0.3	21890.69
ADV	DistMult	MR	0.4	18026.41
ADV	DistMult	MR	0.5	14644.77
ADV	DistMult	MR	0.6	12547.63
ADV	DistMult	MR	0.7	9804.06
ADV	DistMult	MR	0.8	8130.58
ADV	DistMult	MR	0.9	6824.35
ADV	DistMult	MR	1.0	5642.01
ADV	DistMult	HITS@10	0.1	5.37
ADV	DistMult	HITS@10	0.2	10.96
ADV	DistMult	HITS@10	0.3	15.96
